experience,frequency,number,process_order1,process_order2,process_order3,process_order4,process_info1,process_info2,process_info3,process_info4,outcome1,outcome2,outcome3,outcome4,outcome5,environment1,environment2,environment3,environment4,environment5,environment6,environment7,value1,value2,value3,satisfaction1,satisfaction2,satisfaction3,satisfaction4,continuous1,continuous2,continuous3,gender,age
1,5,3,5,5,2,4,1,1,2,5,4,4,4,4,4,2,4,3,1,4,1,1,5,5,5,5,4,4,5,5,5,5,female,24
1,5,3,5,5,5,5,3,2,4,2,3,2,2,4,2,1,4,4,3,4,3,2,3,2,3,3,4,4,4,4,3,4,female,24
1,5,4,4,4,3,2,1,4,5,4,4,3,4,4,4,2,3,4,2,4,1,1,3,3,3,5,4,4,4,5,4,5,female,24
1,3,3,4,4,4,3,4,2,2,2,4,4,4,4,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,female,22
1,4,2,4,4,4,3,4,3,2,4,5,4,5,4,5,2,4,5,3,2,2,2,5,5,5,5,4,4,4,4,2,3,female,22
1,5,5,5,5,1,5,1,4,1,4,5,5,5,5,5,1,4,2,4,2,1,5,2,5,5,2,4,4,4,4,4,4,female,24
1,4,2,4,2,2,2,5,4,4,4,2,2,1,2,2,1,1,2,2,4,2,2,4,2,2,4,2,3,4,2,2,4,female,24
1,4,2,4,4,3,4,2,2,3,2,3,3,3,4,3,2,4,4,3,4,4,1,4,3,3,2,3,3,3,2,2,3,female,24
1,5,3,4,2,2,4,1,1,2,2,4,4,4,3,4,2,3,4,2,4,2,2,4,4,3,2,2,3,4,2,2,4,female,24
1,5,3,5,4,5,5,2,4,4,4,4,5,5,5,5,2,4,3,3,2,1,1,5,5,5,3,4,5,5,5,4,5,female,24
1,5,3,5,5,4,5,2,3,3,3,5,4,2,4,5,2,4,5,3,2,1,1,4,5,5,5,4,5,5,4,3,5,female,22
1,5,3,3,2,2,2,5,2,2,1,4,4,4,2,4,1,2,2,5,4,2,5,4,3,4,5,4,4,4,5,3,4,female,21
1,5,5,2,4,2,2,2,1,1,2,4,5,1,2,2,2,2,1,4,4,5,5,2,4,3,4,3,3,4,3,4,4,female,22
1,5,5,5,5,4,3,2,4,5,3,4,4,5,4,5,2,4,3,3,2,5,3,3,5,4,5,4,4,5,5,3,5,male,25
1,5,5,3,2,4,4,4,3,5,4,2,2,3,3,2,3,2,4,4,4,5,4,3,2,3,1,2,2,3,2,2,5,female,20
1,4,2,5,5,3,4,4,5,2,5,5,5,5,3,4,2,4,4,3,2,1,4,5,5,5,5,5,5,5,5,5,5,female,22
1,3,3,5,5,5,5,3,3,3,4,5,5,5,5,5,4,5,5,3,2,3,3,5,5,5,4,4,4,4,4,4,5,female,22
1,3,3,4,4,3,2,4,5,3,4,3,3,4,4,3,2,4,4,3,2,4,4,3,3,4,3,3,4,4,3,3,4,female,20
1,4,2,4,3,4,5,3,2,2,2,5,4,3,4,5,2,5,4,2,4,1,5,2,4,4,5,4,4,4,4,5,4,male,22
1,5,3,4,4,4,4,3,3,3,4,5,5,5,5,5,4,4,4,4,5,3,3,4,3,4,4,4,5,4,5,5,1,female,22
1,5,5,3,2,4,2,4,2,2,4,4,2,4,2,2,2,2,3,3,4,4,5,4,3,3,2,4,3,3,2,2,4,female,21
1,4,1,4,4,3,3,2,2,4,2,2,2,2,3,3,2,3,3,2,4,5,4,4,2,3,2,2,3,3,2,2,4,female,22
1,5,2,5,5,5,5,4,2,3,1,4,5,5,5,5,4,5,5,5,3,4,2,5,5,5,5,5,5,5,5,5,2,male,23
1,5,5,4,4,4,3,3,2,2,3,4,4,3,5,5,3,4,4,2,3,5,4,5,4,4,5,3,4,4,3,3,5,female,22
1,5,2,5,5,5,5,4,3,4,2,5,5,5,5,5,1,3,2,2,3,4,4,4,5,4,5,5,5,5,5,5,4,female,20
1,0,5,2,2,1,1,4,4,3,4,4,2,1,1,2,1,1,1,1,5,1,2,1,2,2,4,4,3,3,2,2,4,female,21
1,4,2,4,4,4,3,3,2,3,2,4,4,4,3,4,2,3,3,2,4,4,4,2,4,3,4,3,4,4,4,5,5,male,22
1,3,2,3,3,3,2,2,3,2,3,3,2,4,3,3,2,3,3,3,4,5,4,3,3,3,3,2,3,3,3,2,4,female,22
1,5,3,5,5,5,5,4,2,5,1,5,5,5,5,5,2,4,3,3,4,1,1,4,5,5,5,5,5,5,5,5,5,female,24
1,4,3,2,4,2,3,1,1,1,2,1,1,4,2,4,1,4,3,2,4,5,4,5,4,3,4,4,4,4,4,4,4,female,24
1,3,1,3,3,3,3,3,3,2,2,3,3,5,5,3,3,5,5,2,5,4,4,4,3,3,3,3,3,3,3,3,3,female,27
1,5,1,5,5,5,5,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,female,20
1,5,4,5,5,3,3,3,2,4,2,5,5,5,3,5,1,3,4,4,2,4,4,5,5,3,5,3,4,3,4,5,5,female,24
1,5,2,5,5,5,4,3,3,2,3,4,3,5,4,4,3,4,4,2,4,1,1,5,5,4,3,3,4,4,4,3,5,male,28
1,3,2,4,3,3,3,2,1,2,3,2,2,2,3,2,2,3,3,2,4,4,4,3,3,3,3,3,3,3,3,2,5,female,25
