공분산,삼성전자,SK하이닉스,셀트리온,현대차,POSCO,LG화학,NAVER,KB금융,삼성생명,현대모비스,신한지주,SK,한국전력,SK이노베이션,SK텔레콤,LG생활건강,LG전자,아모레퍼시픽,LG,롯데케미칼,하나금융지주,S-Oil,KT&G,삼성SDI,기아차,삼성화재,아모레G,우리은행,카카오,LG디스플레이,현대중공업,고려아연,기업은행,엔씨소프트,이마트,KT,한국타이어,현대제철,코웨이,롯데쇼핑,강원랜드,한화생명,한미사이언스,현대글로비스,CJ,한국항공우주
삼성전자,0.004124616,0.001539008,-0.001319449,0.000549378,0.000423642,0.000443873,0.002138066,0.001304054,0.000770076,0.000303858,0.000626904,0.000286146,-0.000312375,0.001550246,-6.12242E-05,0.001399893,0.000553525,0.000623721,-0.000157744,7.35928E-05,0.001723434,0.001584484,-0.000455597,0.000888428,0.000316172,0.000864269,0.000590124,0.005103206,-0.000994419,0.000639841,0.000927217,0.000660386,0.000867812,0.00061468,-0.000287695,-6.17229E-05,0.000797617,0.000585066,-0.000274353,-0.001209672,-0.000477694,0.00043864,-0.001710633,-0.000687603,-0.001837861,0.001075385
SK하이닉스,0.001539008,0.00636383,-0.001778768,6.40364E-05,-0.000170357,-0.001079722,0.000972749,0.000583262,-8.8938E-05,-0.000891351,-0.000625646,0.000190079,-0.001543747,-0.000455826,0.000343186,-0.000944547,0.00089757,-0.002496141,-0.000572465,-0.001021473,0.000266493,-0.001107352,-0.000595928,0.000557638,-0.001054731,0.000337985,-0.001932079,-0.001187708,0.000156238,0.002135928,-8.24707E-05,0.000920347,9.43836E-05,0.001856212,0.000286338,-0.000585438,0.000485275,0.000270293,-0.000347902,0.000544643,-0.000534752,-0.00075613,-0.004045551,0.00058544,-0.001210635,-0.001908508
셀트리온,-0.001319449,-0.001778768,0.043156563,0.000302362,2.90539E-05,0.002432557,-0.002729405,-0.000796727,-0.001555701,0.002159094,-0.000644366,-0.000838293,-0.001928662,0.002668955,-0.000221392,0.0005487,0.000200906,0.005697991,0.001396656,0.000971489,0.000365809,0.000211219,-0.000424087,0.000584256,-0.000494325,-0.003402541,0.003847978,-0.019299617,-0.002014902,-0.000285646,0.002650006,-0.001823182,0.000343454,0.000224932,-0.000976617,0.000420944,0.000786776,-2.15079E-06,-0.000685834,0.000410606,-0.001235896,-0.001108317,0.010504794,-0.001077377,0.000536413,0.002597309
현대차,0.000549378,6.40364E-05,0.000302362,0.00445433,0.00015984,0.001690627,0.000935338,0.000714908,0.000504842,0.002702967,0.000757196,0.000278009,-0.000485394,-0.00023867,0.001060911,8.50906E-05,0.00133812,0.001234189,0.000897841,0.00099196,0.000768068,0.000521479,0.000876279,0.002876422,0.002498653,0.000375009,0.000573386,0.010757642,-0.000342397,0.001459081,0.002496557,-0.000332382,0.000469103,-0.000397389,0.000835079,0.000613262,0.000694507,0.00120438,3.21356E-05,0.000938755,0.000874678,0.000137428,-0.003134615,0.001047361,-0.0014458,-0.00103077
POSCO,0.000423642,-0.000170357,2.90539E-05,0.00015984,0.00451019,0.001892986,0.00013113,0.001568846,0.000593574,0.000558053,0.00163816,-0.000122625,0.000973967,0.001783852,0.000529368,-0.001067318,0.001134149,0.000150976,0.001375474,0.001652769,0.002405449,0.001359731,0.000162812,0.00130429,0.000673099,0.000659054,0.000434071,-0.00107615,0.000334991,0.000937351,0.002502595,0.000975586,0.001375929,-0.000838371,0.000551369,0.001043558,0.000383637,0.002966631,-0.000430874,0.000377061,0.000519371,0.001132226,-0.00478283,6.93174E-05,-0.001072108,-0.000598678
LG화학,0.000443873,-0.001079722,0.002432557,0.001690627,0.001892986,0.008255173,0.001663591,0.000828361,0.000160673,0.001498101,0.00166821,5.12945E-05,0.00016131,0.003556962,0.000964556,-0.000348209,0.00195259,0.003161135,0.00327168,0.004570568,0.001672753,0.003848434,0.000454653,0.00484219,0.001596346,0.000279782,0.002668316,0.005245512,0.001311722,0.000905452,0.003368984,0.001073481,0.00092731,-0.000666806,0.000387475,0.001094647,0.000522087,0.002455068,-0.000474009,0.000570999,-0.000317249,0.000457714,0.000869055,0.001455528,-0.000761385,-0.000929445
NAVER,0.002138066,0.000972749,-0.002729405,0.000935338,0.00013113,0.001663591,0.011509922,0.001014022,0.000913605,0.001243444,0.00050488,0.002074988,0.000558423,0.000922761,0.000182507,-0.000341519,0.000411417,0.002443816,0.001390387,-6.3819E-05,0.001018169,0.000884113,-0.000642314,0.001975248,0.001428344,0.000985834,0.002172857,-0.004994114,-0.000503703,0.000306876,0.003021769,0.000896943,0.000422701,0.00013159,-0.000404513,-0.000313926,0.000230117,0.001531908,9.98512E-06,-0.000924588,-0.00109907,0.000123846,-0.001355079,0.001102058,-0.000526938,0.000110325
KB금융,0.001304054,0.000583262,-0.000796727,0.000714908,0.001568846,0.000828361,0.001014022,0.003630183,0.000583264,0.000864626,0.001917175,0.000736475,-0.000240238,0.00118142,0.000502637,0.001092546,0.000275837,0.000684414,0.000320957,0.000453993,0.003602357,0.000228355,0.000454937,0.001702873,0.000484291,0.000489091,0.000849241,-0.015037509,0.000353328,0.000372026,0.000540066,0.000498218,0.00216087,-5.14055E-05,0.000935468,0.000927944,0.00015981,0.001904581,-0.001016502,0.001139652,0.000301611,0.001473613,-0.003890191,0.000173562,0.000101419,-0.000105163
삼성생명,0.000770076,-8.8938E-05,-0.001555701,0.000504842,0.000593574,0.000160673,0.000913605,0.000583264,0.002856412,0.000535771,0.000764391,0.000403491,0.000141304,0.000750079,-4.92043E-05,0.001337888,0.000129059,-9.73008E-05,0.00015696,0.000214076,0.000803579,0.000479254,5.14619E-05,-0.000390431,0.001039303,0.001433864,-0.000256496,0.008571818,0.000277949,-0.000471792,0.000459677,0.000645845,0.000819884,-0.000240698,0.000242502,4.34565E-05,0.000235462,0.000549076,0.000199701,-7.55339E-05,3.51666E-05,0.002027439,-0.002342058,0.000626866,0.000623101,0.00138504
현대모비스,0.000303858,-0.000891351,0.002159094,0.002702967,0.000558053,0.001498101,0.001243444,0.000864626,0.000535771,0.004472313,0.001167615,0.000388561,-0.000709339,0.000378157,0.000522161,0.001428361,0.001054627,0.002386452,0.001645229,0.00112719,0.000898843,0.000951332,0.000923338,0.002772286,0.001890106,0.000368844,0.001958678,-0.00270191,8.22523E-05,0.000605989,0.00168318,-6.61924E-05,0.000593364,-0.001250187,-3.13497E-05,0.000553142,0.000965609,0.001340418,0.000113237,0.000167256,0.001445046,0.001043851,-0.001674385,0.001252152,0.000750379,-0.000136205
